"id","o_tract","d_tract","time_start_hhmm","d_purpose","mode","count"
"1",53033000100,53033000100,8,2,4,1
"2",53033000100,53033000100,8,4,4,1
"3",53033000100,53033000100,10,3,4,4
"4",53033000100,53033000100,11,1,4,1
"5",53033000100,53033000100,11,3,4,1
"6",53033000100,53033000100,11,4,4,1
"7",53033000100,53033000100,11,4,4,1
"8",53033000100,53033000100,11,4,4,1
"9",53033000100,53033000100,12,3,1,1
"10",53033000100,53033000100,13,1,4,1
"11",53033000100,53033000100,13,3,1,3
"12",53033000100,53033000100,13,4,1,3
"13",53033000100,53033000100,14,1,1,3
"14",53033000100,53033000100,14,4,1,1
"15",53033000100,53033000100,16,1,4,1
"16",53033000100,53033000100,16,3,4,2
"17",53033000100,53033000100,17,1,1,1
"18",53033000100,53033000100,17,1,4,1
"19",53033000100,53033000100,17,4,4,1
"20",53033000100,53033000100,18,1,4,1
"21",53033000100,53033000100,18,3,4,1
"22",53033000100,53033000100,18,3,4,1
"23",53033000100,53033000100,18,4,1,1
"24",53033000100,53033000100,18,4,4,1
"25",53033000100,53033000100,19,1,1,1
"26",53033000100,53033000100,19,1,4,2
"27",53033000100,53033000100,20,3,1,1
"28",53033000100,53033000100,21,1,1,1
"29",53033000100,53033000200,7,4,1,1
"30",53033000100,53033000200,8,4,1,1
"31",53033000100,53033000200,8,4,1,1
"32",53033000100,53033000200,9,2,1,1
"33",53033000100,53033000200,10,4,1,1
"34",53033000100,53033000200,10,4,4,3
"35",53033000100,53033000200,11,1,1,1
"36",53033000100,53033000200,12,2,1,1
"37",53033000100,53033000200,14,4,1,1
"38",53033000100,53033000200,15,4,4,2
"39",53033000100,53033000401,9,4,1,2
"40",53033000100,53033000401,9,4,1,1
"41",53033000100,53033000402,5,2,1,1
"42",53033000100,53033000600,16,1,5,1
"43",53033000100,53033000600,21,1,3,1
"44",53033000100,53033000700,10,1,4,1
"45",53033000100,53033000700,12,1,4,1
"46",53033000100,53033000700,13,1,4,1
"47",53033000100,53033000700,14,1,4,1
"48",53033000100,53033000700,14,4,4,1
"49",53033000100,53033000700,15,1,4,1
"50",53033000100,53033000700,17,1,4,1
"51",53033000100,53033000700,19,1,1,1
"52",53033000100,53033000700,19,1,4,3
"53",53033000100,53033000700,20,1,5,2
"54",53033000100,53033000700,21,1,4,2
"55",53033000100,53033000800,7,2,1,1
